date,close,high,low,open,volume,company,sma_10,ema_20,rsi_14,macd_12_26_9,macdh_12_26_9,macds_12_26_9,bbl_20_2_0,bbm_20_2_0,bbu_20_2_0,bbb_20_2_0,bbp_20_2_0,target
2005-02-21,36.03453826904297,36.324435066997935,35.83902873654633,36.01768635867248,46948572,RELIANCE,36.29207382202149,35.978029714694465,51.01055741930131,0.2991290966954452,-0.0908470752735234,0.3899761719689686,34.16162290783605,35.856220626831046,37.55081834582607,9.45218257457366,0.5526135613818919,1
2005-02-22,36.374996185302734,36.49634506065347,35.86936686732899,36.00082904936019,59620726,RELIANCE,36.33083877563477,36.015836045228575,55.15217998130951,0.2975192176276238,-0.0739655634730759,0.3714847811006997,34.44997159505409,35.966953659057616,37.48393572306113,8.435421461508719,0.634491546053036,1
2005-02-23,36.96489334106445,37.0795036057697,36.38510701675264,36.38510701675264,77989467,RELIANCE,36.40600852966308,36.1062224543558,61.26290349790237,0.3399247069357898,-0.0252480593319279,0.3651727662677178,34.9092984437338,36.12437286376953,37.339447283805264,6.727172397527636,0.8458720155059328,0
2005-02-24,36.877254486083984,37.31546536213671,36.78287082672525,37.09972922554247,69616806,RELIANCE,36.43634605407715,36.179654076425145,59.95586598338949,0.3622834613305201,-0.0023114439497581,0.3645949052802783,35.41953740372155,36.26224117279053,37.1049449418595,4.647830590798128,0.8649048075179077,0
2005-02-25,36.41545486450195,37.14019160099273,36.28399264978492,37.07951534742879,55788518,RELIANCE,36.38746948242189,36.20211129433722,53.480989712225714,0.3388337012420095,-0.020608963230615,0.3594426644726245,35.63099996214643,36.32257995605469,37.01415994996295,3.807989381508541,0.5671469022132998,1
2005-02-28,37.5008659362793,37.75368060094612,36.12555344017076,36.41881773086328,106164094,RELIANCE,36.47308921813965,36.32580221261743,63.467333699683984,0.4031855279669614,0.0349942907954695,0.3681912371714919,35.57156628317157,36.403312301635744,37.23505832009992,4.5696172456636575,1.1597889321250954,0
2005-03-01,36.91434097290039,37.585143641438215,36.70871809864919,37.585143641438215,68262594,RELIANCE,36.5293830871582,36.38185352312056,56.41911658028111,0.4022206027899955,0.0272234924948028,0.3749971102951926,35.56149872471475,36.418818473815925,37.27613822291708,4.708114019226333,0.7889951500615694,1
2005-03-02,37.055908203125,37.21096809986719,36.712080989167966,36.87725419253342,72767349,RELIANCE,36.62781181335449,36.44604920693051,57.64183669862391,0.4081740090904589,0.0265415190362129,0.3816324900542459,35.598907616428775,36.47308921813965,37.34727081985053,4.7935703854562,0.8333512074863527,1
2005-03-03,37.65929794311523,37.92222592169544,37.09299235885136,37.09299235885136,90881098,RELIANCE,36.78118629455568,36.561596705614775,62.47440977283991,0.4563204575690634,0.059750374011854,0.3965700835572093,35.51698169231327,36.5325849533081,37.54818821430293,5.559985762260518,1.0547013450426783,1
2005-03-04,38.566062927246094,38.657075496345854,37.7233448833903,37.7233448833903,121987730,RELIANCE,37.03636131286621,36.75249825053204,68.32317805862715,0.5611763295263472,0.1316849967753102,0.4294913327510369,35.315052368212704,36.65022830963135,37.98540425104999,7.286044333141443,1.2174465020614218,1
